BRAND;CATEGORY;RMC;DETAIL;SIZE;DIAL;BRACELET;FAMILY;PRICE
ROLEX;SAAT;128348RBR-0031;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;84808BR - PRESIDENT BR;DAY-DATE ;€ 143.700
ROLEX;SAAT;128398TBR-0010;;36;CHAMPAGNE-COLOUR;83408 - PRESIDENT;DAY-DATE ;€ 83.200
ROLEX;SAAT;128398TBR-0016;;36;WHITE;83408 - PRESIDENT;DAY-DATE ;€ 83.200
ROLEX;SAAT;128398TBR-0026;;36;WHITE ROMAN NUMERALS;83408 - PRESIDENT;DAY-DATE ;€ 83.200
ROLEX;SAAT;128398TBR-0028;;36;GREEN OMBRÉ ROMAN NUMERALS;83408 - PRESIDENT;DAY-DATE ;€ 83.200
ROLEX;SAAT;128398TBR-0002;;36;CHAMPAGNE-COLOUR 8 DIAMONDS 2 BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 86.250
ROLEX;SAAT;128398TBR-0006;;36;DARK GREY 8 DIAMONDS 2 DIAMONDS BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 86.250
ROLEX;SAAT;128398TBR-0008;;36;GREEN OMBRÉ 8 DIAMONDS 2 DIAMONDS BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 86.250
ROLEX;SAAT;128398TBR-0004;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 DIAMONDS BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 87.000
ROLEX;SAAT;128398TBR-0035;;36;BRIGHT GREEN 10 BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 87.750
ROLEX;SAAT;128398TBR-0037;;36;CHAMPAGNE-COLOUR 10 BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 87.750
ROLEX;SAAT;128398TBR-0030;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83408 - PRESIDENT;DAY-DATE ;€ 88.800
ROLEX;SAAT;128398TBR-0018;;36;CARNELIAN 32 DIAMONDS VI & IX 24 DIAMONDS;83408 - PRESIDENT;DAY-DATE ;€ 92.200
ROLEX;SAAT;128398TBR-0014;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83408 - PRESIDENT;DAY-DATE ;€ 93.600
ROLEX;SAAT;128398TBR-0012;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83408 - PRESIDENT;DAY-DATE ;€ 114.300
ROLEX;SAAT;128239-0005;;36;SILVER;83409 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128239-0059;;36;WHITE ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128239-0063;;36;BLUE OMBRÉ ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 43.600
ROLEX;SAAT;128239-0023;;36;BLUE OMBRÉ 8 DIAMONDS 2 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 46.650
ROLEX;SAAT;128239-0007;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 47.400
ROLEX;SAAT;128239-0069;;36;BRIGHT BLUE 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 48.150
ROLEX;SAAT;128239-0071;;36;PINK 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 48.150
ROLEX;SAAT;128239-0065;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;83409 - PRESIDENT;DAY-DATE ;€ 49.200
ROLEX;SAAT;128239-0021;;36;PINK OPAL 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 52.600
ROLEX;SAAT;128239-0044;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;83409 - PRESIDENT;DAY-DATE ;€ 54.000
ROLEX;SAAT;128239-0019;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;83409 - PRESIDENT;DAY-DATE ;€ 74.700
ROLEX;SAAT;128239-0025;;36;SILVER;84809BR - PRESIDENT BR;DAY-DATE ;€ 99.300
ROLEX;SAAT;128239-0060;;36;WHITE ROMAN NUMERALS;84809BR - PRESIDENT BR;DAY-DATE ;€ 99.300
ROLEX;SAAT;128239-0064;;36;BLUE OMBRÉ ROMAN NUMERALS;84809BR - PRESIDENT BR;DAY-DATE ;€ 99.300
ROLEX;SAAT;128239-0029;;36;BLUE OMBRÉ 8 DIAMONDS 2 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 102.350
ROLEX;SAAT;128239-0026;;36;WHITE MOTHER-OF-PEARL 8 DIAMONDS 2 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 103.100
ROLEX;SAAT;128239-0070;;36;BRIGHT BLUE 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 103.850
ROLEX;SAAT;128239-0072;;36;PINK 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 103.850
ROLEX;SAAT;128239-0066;;36;WHITE MOTHER-OF-PEARL 10 BAGUETTES;84809BR - PRESIDENT BR;DAY-DATE ;€ 104.900
ROLEX;SAAT;128239-0030;;36;PINK OPAL 32 DIAMONDS VI & IX 24 DIAMONDS;84809BR - PRESIDENT BR;DAY-DATE ;€ 108.300
ROLEX;SAAT;128239-0045;;36;TURQUOISE 32 DIAMONDS VI & IX 24 DIAMONDS;84809BR - PRESIDENT BR;DAY-DATE ;€ 109.700
ROLEX;SAAT;128239-0027;;36;DIAMOND-PAVED 10 RAINBOW BAGUETTE-CUT SAPPHIRES;84809BR - PRESIDENT BR;DAY-DATE ;€ 130.400
ROLEX;SAAT;128349RBR-0001;;36;SILVER;83409 - PRESIDENT;DAY-DATE ;€ 60.500
ROLEX;SAAT;128349RBR-0043;;36;WHITE ROMAN NUMERALS;83409 - PRESIDENT;DAY-DATE ;€ 60.500
